index,pobreza_binaria,pobreza,ingresos,edad
1,1,3,42000,34
2,1,3,40000,67
3,1,3,31000,47
4,1,3,30000,69
5,1,3,30000,40
6,1,3,26250,37
7,1,3,25000,74
8,1,3,25000,45
9,1,3,23000,32
10,1,3,22135,75
11,1,3,20000,58
12,1,3,20000,53
13,1,3,20000,41
14,1,3,20000,43
15,1,3,20000,40
16,1,3,20000,39
17,1,3,20000,39
18,1,3,20000,32
19,1,3,19200,26
20,1,3,18000,56
21,1,3,18000,42
22,1,3,18000,37
23,0,1,18000,25
24,1,3,16000,50
25,1,3,16000,50
26,1,3,15550,41
27,1,3,15400,17
28,1,3,15000,79
29,1,3,15000,70
30,1,3,15000,65
31,1,3,15000,61
32,1,3,15000,63
33,1,3,15000,62
34,1,3,15000,61
35,1,3,15000,52
36,1,3,15000,54
37,1,3,15000,50
38,1,3,15000,47
39,1,3,15000,45
40,1,3,15000,46
41,1,3,15000,42
42,1,3,15000,44
43,1,3,15000,40
44,1,3,15000,37
45,1,3,15000,38
46,1,3,15000,38
47,1,3,15000,39
48,1,3,15000,37
49,1,3,15000,33
50,1,3,15000,32
51,1,3,15000,33
52,1,3,15000,28
53,1,3,15000,28
54,1,3,14800,42
55,1,3,14000,36
56,1,3,14000,35
57,1,3,13500,31
58,1,3,13000,65
59,1,3,13000,55
60,1,3,13000,45
61,1,3,13000,40
62,1,3,13000,34
63,1,3,12500,55
64,1,3,12255,24
65,1,3,12200,35
66,1,3,12000,66
67,1,3,12000,61
68,1,3,12000,63
69,1,3,12000,52
70,0,2,12000,50
71,1,3,12000,53
72,1,3,12000,46
73,1,3,12000,48
74,1,3,12000,45
75,1,3,12000,48
76,1,3,12000,42
77,1,3,12000,40
78,1,3,12000,43
79,1,3,12000,42
80,1,3,12000,43
81,1,3,12000,39
82,1,3,12000,36
83,1,3,12000,38
84,0,2,12000,33
85,0,2,12000,31
86,1,3,12000,31
87,1,3,12000,33
88,1,3,12000,33
89,1,3,12000,31
90,1,3,12000,28
91,1,3,12000,29
92,1,3,12000,26
93,1,3,12000,26
94,1,3,12000,18
95,1,3,11700,59
96,1,3,11600,37
97,1,3,11500,50
98,1,3,11000,45
99,1,3,11000,48
100,1,3,11000,36
101,1,3,11000,37
102,0,2,11000,25
103,0,2,10920,17
104,1,3,10800,45
105,1,3,10660,63
106,1,3,10600,52
107,1,3,10400,50
108,0,2,10400,35
109,1,3,10300,51
110,1,3,10200,53
111,1,3,10125,51
112,1,3,10102,53
113,1,3,10000,70
114,1,3,10000,74
115,0,2,10000,65
116,1,3,10000,67
117,1,3,10000,60
118,1,3,10000,58
119,1,3,10000,57
120,1,3,10000,52
121,1,3,10000,51
122,1,3,10000,54
123,1,3,10000,50
124,1,3,10000,52
125,1,3,10000,53
126,1,3,10000,53
127,1,3,10000,53
128,1,3,10000,50
129,1,3,10000,46
130,1,3,10000,48
131,1,3,10000,46
132,1,3,10000,45
133,1,3,10000,47
134,1,3,10000,47
135,1,3,10000,46
136,1,3,10000,49
137,1,3,10000,48
138,1,3,10000,43
139,1,3,10000,44
140,1,3,10000,44
141,1,3,10000,41
142,1,3,10000,40
143,1,3,10000,42
144,1,3,10000,44
145,1,3,10000,40
146,1,3,10000,41
147,1,3,10000,41
148,1,3,10000,42
149,1,3,10000,42
150,1,3,10000,42
151,1,3,10000,44
152,0,2,10000,36
153,0,2,10000,36
154,1,3,10000,36
155,1,3,10000,35
156,1,3,10000,36
157,1,3,10000,37
158,1,3,10000,39
159,1,3,10000,37
160,1,3,10000,38
161,1,3,10000,39
162,1,3,10000,38
163,1,3,10000,35
