index,pobreza_binaria,pobreza,ingresos,edad
1,No pobreza,No pobreza,42000,34
2,No pobreza,No pobreza,40000,67
3,No pobreza,No pobreza,31000,47
4,No pobreza,No pobreza,30000,69
5,No pobreza,No pobreza,30000,40
6,No pobreza,No pobreza,26250,37
7,No pobreza,No pobreza,25000,74
8,No pobreza,No pobreza,25000,45
9,No pobreza,No pobreza,23000,32
10,No pobreza,No pobreza,22135,75
11,No pobreza,No pobreza,20000,58
12,No pobreza,No pobreza,20000,53
13,No pobreza,No pobreza,20000,41
14,No pobreza,No pobreza,20000,43
15,No pobreza,No pobreza,20000,40
16,No pobreza,No pobreza,20000,39
17,No pobreza,No pobreza,20000,39
18,No pobreza,No pobreza,20000,32
19,No pobreza,No pobreza,19200,26
20,No pobreza,No pobreza,18000,56
21,No pobreza,No pobreza,18000,42
22,No pobreza,No pobreza,18000,37
23,Pobreza,Pobreza extrema,18000,25
24,No pobreza,No pobreza,16000,50
25,No pobreza,No pobreza,16000,50
26,No pobreza,No pobreza,15550,41
27,No pobreza,No pobreza,15400,17
28,No pobreza,No pobreza,15000,79
29,No pobreza,No pobreza,15000,70
30,No pobreza,No pobreza,15000,65
31,No pobreza,No pobreza,15000,61
32,No pobreza,No pobreza,15000,63
33,No pobreza,No pobreza,15000,62
34,No pobreza,No pobreza,15000,61
35,No pobreza,No pobreza,15000,52
36,No pobreza,No pobreza,15000,54
37,No pobreza,No pobreza,15000,50
38,No pobreza,No pobreza,15000,47
39,No pobreza,No pobreza,15000,45
40,No pobreza,No pobreza,15000,46
41,No pobreza,No pobreza,15000,42
42,No pobreza,No pobreza,15000,44
43,No pobreza,No pobreza,15000,40
44,No pobreza,No pobreza,15000,37
45,No pobreza,No pobreza,15000,38
46,No pobreza,No pobreza,15000,38
47,No pobreza,No pobreza,15000,39
48,No pobreza,No pobreza,15000,37
49,No pobreza,No pobreza,15000,33
50,No pobreza,No pobreza,15000,32
51,No pobreza,No pobreza,15000,33
52,No pobreza,No pobreza,15000,28
53,No pobreza,No pobreza,15000,28
54,No pobreza,No pobreza,14800,42
55,No pobreza,No pobreza,14000,36
56,No pobreza,No pobreza,14000,35
57,No pobreza,No pobreza,13500,31
58,No pobreza,No pobreza,13000,65
59,No pobreza,No pobreza,13000,55
60,No pobreza,No pobreza,13000,45
